date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:47	10024/10024	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/dashboard.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/dashboard.html	(from )
20:15:47	49/49	---M-Z	200	added ('OK')	text/plain	date:Mon,%2011%20Jan%202016%2016:06:14%20GMT	http://www.klevermedia.co.uk/robots.txt		(from )
20:15:48	47875/47875	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Jan%202016%2016:13:44%20GMT	http://www.klevermedia.co.uk/assets/dashboard/css/style.css	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/css/style.css	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:48	8373/8373	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jan%202016%2016:13:44%20GMT	http://www.klevermedia.co.uk/assets/dashboard/images/uiface2.png	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/images/uiface2.png	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:49	1966/1966	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/index.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/index.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:50	7111/7111	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/pages-table.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/pages-table.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:52	13902/13902	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Nov%202016%2019:15:28%20GMT	http://www.klevermedia.co.uk/assets/dashboard/page-new.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/page-new.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:53	7680/7680	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/page-timeline.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/page-timeline.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:55	13902/13902	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Nov%202016%2019:15:30%20GMT	http://www.klevermedia.co.uk/assets/dashboard/files.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/files.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:56	5729/5729	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/files-upload.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/files-upload.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:56	7273/7273	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/blog-timeline.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/blog-timeline.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:56	8793/8793	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/blog-new.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/blog-new.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
20:15:57	8615/8615	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202016%2016:13:41%20GMT	http://www.klevermedia.co.uk/assets/dashboard/blog-table.html	C:/Users/user/Desktop/Dashbord/www.klevermedia.co.uk/assets/dashboard/blog-table.html	(from http://www.klevermedia.co.uk/assets/dashboard/dashboard.html)
